sentence,label
",","other"
"but","other"
"this can no longer be an excuse","claim"
".","other"
"It is shocking","other"
"that some Arab countries have degenerated into bloodletting between people of the same history and religion","other"
"that made","other"
"them great","claim"
".","other"
"They are on the verge of","other"
"regressing to the days of pre-Islamic ''jahiliya'' (ignorance)","claim"
".","other"
"Aside from the influence of unhelpful global politics, the root cause lies in the failure of their own political and religious leaders","claim"
".","other"
"Unless	cond","other"
"Muslim politicians and civic leaders come to their senses and adopt people-oriented principled politics, improve their accountability and regard themselves as people's servants	cond","claim"
",	cond","other"
"the situation is going","other"
"to get worse","claim"
".","other"
"The current blame game is meaningless","claim"
".","other"
"Politicians do have","other"
"a higher degree of responsibility to bring a nation out of the political mess","claim"
",","other"
"but","other"
"one should not forget","other"
"that they originate from the society and carry its values, norms and culture","claim"
".","other"
"The whole society must now come to its senses and stand up against this self-annihilation","claim"
".","other"
"The bloodletting between diehard secularists and inexperienced hard-line Islamists in some countries is a boon to entrenched dictators","other"
"to dig","other"
"their heels and hegemonic powers to milk national wealth","claim"
".","other"
"Islam is indeed very broad and has the ability","other"
"to accommodate anyone and everyone","claim"
".","other"
"So, the difference between a Muslim secularist and an Islamist is a matter of degree","claim"
".","other"
"This is being blown up by people of ulterior motives and must be challenged","claim"
".","other"
"Secularists have been in power in much of the Muslim world for decades","claim"
"and","other"
"they do not want","other"
"to bow out without a fight","claim"
".","other"
"Islamists want","other"
"to unseat them","claim"
",","other"
"but lack the political experience in","other"
"running the affairs of modern statecraft","claim"
".","other"
"Behind the furore, a democratic deficit and lack of confidence are big issues for many politicians","claim"
".","other"
"The demons must be slain","claim"
".","other"
"Wise individuals, senior citizens and authoritative institutions should raise their voice of sanity and help set the national conversation among politicians","claim"
".","other"
"Secularists should accept the social reality","other"
"that there are Islamists in their midst","claim"
";","other"
"on the other hand	Modd-NU","other"
",	Modd-NU","other"
"Islamists will also do better	cond","claim"
"if	cond","other"
"they recognise","other"
"that secularism is part of modern reality","claim"
".","other"
"Both groups consist of human beings and cannot be exterminated","claim"
".","other"
"'Live and let live'","other"
".","other"
"There is no short-cut","other"
"to end the chronic and acute political crisis in the Muslim world","claim"
".","other"
"But it is vital","other"
"all political groups work on the basis of existing socio-political realities and find","other"
"ways to reconcile with the principle of","other"
"''live and let live''","claim"
".","other"
"Sensible and moderate people from various political camps should sit together, informally and formally, and find a pragmatic political framework","other"
"to make","other"
"democratic politics institutional","other"
"and allow healthy transition of power","claim"
".","other"
"Every citizen has a right","other"
"to rule","claim"
".","other"
"The long awaited Arab Spring","other"
"and","other"
"its failure in most countries have made","other"
"things worse","claim"
".","other"
"However","other"
",","other"
"it has also left powerful legacy and lessons","claim"
".","other"
"The failure in Egypt and ongoing experiment in Tunisia are too vivid","other"
"to ignore","claim"
".","other"
"The nobility in politics lies in","other"
"bringing happiness to people's lives, peace in society and raising the dignity of a people","claim"
".","other"
"Muslim politicians would do better	cond","claim"
"if	cond","other"
"they keep in mind their Prophet's timeless statement","other"
":","other"
"''A leader of a people is their servant.''","claim"
"The world of Islam is at a crossroad, either","claim"
"to make or break","claim"
".","other"
"There are plenty of talented and visionary people with personal integrity in Muslim societies","claim"
"who should now come to politics and make a serious effort","claim"
"to cleanse it from the dirt","claim"
".","other"
"Let","other"
"there arise a new breed of Muslim politicians","other"
"who have the steel and skill of","other"
"turning anarchy into optimism","other"
".","other"
"Assad's crumbling presidency.","other"
"Syria's existence as a country continues","other"
"to haemorrhage","claim"
"as","other"
"its people flee","claim"
",","other"
"borders disappear","claim"
"and","other"
"cities crumble","claim"
".","other"
"The country's heritage is being dug up, stolen or blasted to smithereens and the most effective armed groups in the country","claim"
",","other"
"whether","other"
"ISIL or Hezbollah on the ground or Israel and US in the air, operate under flags","other"
"that are not Syria's own","claim"
".","other"
"Syria has become a stage for a plethora of violent actors and at the centre","other"
"is the seemingly immovable object of President Bashar al-Assad, the 49-year-old","other"
"who has been in power since 2000 following three decades of his father's rule","claim"
".","other"
"The brutal events in Paris have sparked another conversation across global media on the scourge of Islamic terrorism and led","other"
"the Independent's Middle East correspondent, Patrick Cockburn, to suggest","other"
"that people forget about overthrowing Assad","other"
"and instead should concentrate on","other"
"building a common cause with Damascus","other"
"that ''could unite against violent Sunni jihadism''","premise"
".","other"
"However","other"
",","other"
"while	Modd-NU","other"
"Assad is still there nominally in power","claim"
",","other"
"a closer look reveals","other"
"that he is more marginalised than ever and an increasingly irrelevant political actor on a stage dominated by others","claim"
".","other"
"This authoritarian facade must be taken into account in future policy towards the beleaguered country","claim"
".","other"
"Start by","other"
"asking the question","other"
";","other"
"what","other"
"is Assad still president of?	m-question","claim"
"Half of the country have fled their homes","premise"
",","other"
"over 200,000 are dead","premise"
"and","other"
"a million are wounded","premise"
".","other"
"The UN estimates","other"
"that it will cost $8.4bn in 2015","other"
"to look after Syrians affected by war","premise"
"and","other"
"more than 6,500 cases of typhoid and 4,200 cases of measles were reported in 2014","premise"
".","other"
"Although	Modd-NU","other"
"''government forces'' are supposedly in control of some 50 percent of the territory","premise"
"the devolution of power to militias as well as Iranian and Hezbollah forces means","premise"
"that Assad's command and control is stretched like never before","claim"
".","other"
"Meanwhile in the east	Modd-NU","other"
",	Modd-NU","other"
"ISIL runs a bus network out if its capital Raqqa","claim"
"and","other"
"despite	Modd-NU","other"
"Kobane being in stalemate","claim"
",","other"
"the Kurds are increasingly sketching out the makings of a statelet in the northeast of the country","claim"
".","other"
"The country's borders are disappearing as functional entities with talk of a Turkish buffer zone in the north and all sorts of","other"
"foreign fighters (and John McCain) entering the country at will","claim"
".","other"
"A recent Middle East Eye report outlined","other"
"that the ''Syrian economy has effectively ceased to function","other"
",","other"
"and","other"
"President Bashar al-Assad's government is almost entirely dependent on loans from Iran and some aid from the Russian Federation''","premise"
".","other"
"Towards the end of last year the desperate position saw","other"
"Damascus even issue a new ''Martyrs Stamp Duty''","premise"
",","other"
"whose proceeds will go to the families of fallen soldiers and other militia members","claim"
".","other"
"Aleppo, the country's largest city and once commercial hub, is being pummelled by a regular supply of barrel bombs with the hospitals being forced underground and ISIL forces closing in","premise"
".","other"
"Assad himself is seen","other"
"less and less","claim"
".","other"
"On a New Year's Eve trip to","other"
"what","other"
"was said","other"
"to be ''the frontlines'' in his own capital","other"
",","other"
"the president's smiles and patriotic music couldn't disguise the occasional crack of background gunfire","claim"
".","other"
"Several days later the Assad publicity blitz continued with a very public appearance at a prayer in a mosque in Damascus","premise"
".","other"
"The New York Times were so surprised","other"
"to see him","other"
"that they pointed out","other"
"he'd shaved his moustache","premise"
",","other"
"although	Modd-NU","other"
"others claimed","other"
"it has simply gone white, perhaps due the stress of the continued conflict","premise"
".","other"
"Yet","other"
",","other"
"the focus on Assad the individual, rather than Syria the country, and the narrative of government against the opposition, doesn't explain the hollowing out of the former and the fragmentation of the latter","claim"
".","other"
"This time last year the Geneva II Peace Conference marked the high water mark of the Syrian opposition as a coherent and seemingly viable actor","claim"
".","other"
"Since then, the corrosiveness of ISIL's rapid spread and the increased brutality of the conflict has seemingly made","other"
"an immoderate crisis an impossible place for moderate actors such as the FSA and the National Syrian Coalition","claim"
".","other"
"Khaled Khoja was elected the new leader of the coalition at the start of the year and quickly signalled his unwillingness for them	Modd-NU","other"
"to attend another attempt at peace talks	Modd-NU","other"
",	Modd-NU","other"
"this time organised by Russia","premise"
".","other"
"What","other"
"Syria is","other"
"and","other"
"what","other"
"it could eventually become","other"
"will have regional and global ramifications","other"
"that are hard","other"
"to predict","claim"
".","other"
"Among the most unlikely scenarios is the return of a unitary state with full control of territory within its borders under the effective sovereignty of Assad","claim"
".","other"
"We can't breathe: Obama's last chance for change.","other"
"No one in the United States is actually surprised","other"
"that a grand jury in New York City decided","other"
"not to indict Daniel Pantaleo for the death of Eric Garner","claim"
".","other"
"In the same way that few Americans, regardless of political leanings were surprised","other"
"when","other"
"Officer Darren Wilson was not indicted for","other"
"killing Michael Brown in Ferguson, Missouri, just over a week ago","claim"
".","other"
"The proximity of these two rulings, and the subsequent protests and civil unrest","other"
"that have occurred in their wake, however","other"
",","other"
"is an opportunity for President Barack Obama","other"
"to make lasting and significant changes in the fundamental principles governing the US","claim"
".","other"
"The question will be does","other"
"he have the political capital","other"
"to do it?","claim"
"Garner was killed in July during","claim"
"what","claim"
"was an unpleasant","claim"
".","claim"
"but fairly typical interaction between minorities and police in the US","claim"
".","other"
"He was accused by local police of selling ''loosies'' or cigarettes in boxes","other"
"that hadn't been properly taxed","premise"
"and","other"
"when	Modd-NU","other"
"he told the officers","other"
"that he wasn't selling them and was tired of","other"
"being harassed","premise"
",","other"
"the situation turned grim","claim"
".","other"
"He was quickly surrounded by several officers","premise"
",","other"
"and","other"
"Officer Pantaleo put Garner in a chokehold and helped force him down onto the ground","premise"
".","other"
"Garner screamed","other"
"that he couldn't breathe","premise"
"but","other"
"despite his protests police continued","other"
"to hold his neck","other"
"in order","other"
"to handcuff him","premise"
",","other"
"and","other"
"when	Modd-NU","other"
"it became apparent","other"
"that he had stopped","other"
"breathing","premise"
",","other"
"the four EMTs on the scene made no effort","other"
"to revive him","claim"
".","other"
"This entire episode was caught on video by a friend of Garner's","premise"
"and","other"
"its viral spread helped spur","other"
"New York authorities to actually convene a grand jury of 25 New York citizens","premise"
".","other"
"The grand jury, however, decided that despite the visual evidence, and despite the city coroner","other"
"declaring Garner's death a homicide","other"
",","other"
"that there was not enough evidence","other"
"to warrant a full trial","premise"
".","other"
"Thousands of Americans of all ages and colours took to the streets in a series of spontaneous protests across the country","premise"
".","other"
"It's easy from the outside","other"
"to look at these protests and assume","other"
"that this is a dangerous and destabilising tipping point","other"
";","other"
"that there is a new wave of violence against minorities","other"
"that has finally reached a point of no return","claim"
".","other"
"This is not entirely true","claim"
".","other"
"Violence against minorities, either directly sanctioned by, or tacitly tolerated by the federal government is the norm in the US, not an anomaly","claim"
".","other"
"From slavery to the massacre of Native Americans to rampant racial terrorism against African Americans, the US has not stopped its bloody relationship with violence and people of colour","claim"
".","other"
"While	Modd-NU","other"
"African Americans only make up 13 percent of the population","premise"
"they account for over 30 percent of all police killings in 2012 alone","premise"
".","other"
"When	Modd-NU","other"
"you combine this kind of history with racial discrimination in sentencing, arrests, fines, jail time","claim"
",","other"
"where	Modd-NU","other"
"African Americans routinely receive longer, harsher and less lenient penalties than whites for the same crimes","claim"
",","other"
"it is hard","other"
"to simply say","other"
"that the cases of Eric Garner (or Michael Brown, or Tamir Rice or John Crawford) are new or isolated incidents","claim"
".","other"
"The US criminal justice system isn't broken","claim"
",","other"
"it's working exactly the way","other"
"it was intended","other"
"to work","claim"
",","other"
"and","other"
"it was never written, implemented or designed","other"
"to provide justice or equality for African Americans","claim"
".","other"
"However","other"
"what","other"
"is different","other"
"in","other"
"this case is","other"
"that it's not just African Americans protesting","claim"
",","other"
"a significant number of white, Latino and Asian Americans have flooded the streets of New York","other"
"protesting the Garner ruling, shutting down major highways, malls and even disrupting the annual Christmas tree lighting","premise"
".","other"
"At its core, police violence is a white American problem, not a black one","claim"
".","other"
"The only way","other"
"this tide of violence can be stemmed","other"
"is","other"
"if","other"
"white Americans","other"
"who are angry about and stand against institutional racism and discrimination","other"
",","other"
"are willing","other"
"to directly confront white Americans","other"
"who still support the way","other"
"these institutions are run","claim"
".","other"
"Solutions to institutional racism and police violence can't be dropped off at the doors of African Americans any longer","claim"
",","other"
"the white American majority must take some responsibility","claim"
".","other"
"Beyond that, it is time for the president","other"
"to take","other"
"bolder steps","other"
"to address systematic inequality in sentencing","other"
"and policing across the US","claim"
".","other"
"President Obama has always been partial","other"
"to piecemeal strategies","claim"
".","other"
"While","other"
"his rhetoric is often bold and sweeping","claim"
",","other"
"the hostility of the Republican Congress, mixed with his own political personality, has often led to marginal policy changes","claim"
".","other"
"On Monday, he convened a commission of civil rights leaders and unveiled plans","other"
"to put more shoulder cameras on police officers' uniforms and thoroughly review Programme 1033","premise"
",","other"
"which allows","other"
"local police departments to get free access to surplus military equipment","claim"
".","other"
"And","other"
"while	Modd-NU","other"
"those are fine first steps","claim"
",","other"
"neither would have saved Garner's life or changed the decision of the grand jury","claim"
".","other"
"The police did not have heavy militarised equipment","premise"
"but","other"
"they employed a physical chokehold method","other"
"that had been declared illegal by the New York police department for over 20 years","claim"
",","other"
"but","other"
"that too wasn't enough","other"
"to warrant a trial","claim"
".","other"
"While	Modd-NU","other"
"shoulder cameras are known","other"
"to limit cases of abuse and harassment","claim"
",","other"
"the Garner case shows","other"
"that they do not guarantee","other"
"the police will be held","other"
"accountable","claim"
".","other"
"The only way","other"
"that the president can do something about these events","other"
"and","other"
"the frustration felt by the public","other"
"is","other"
"to actually demand","other"
"that the Department of Justice indict and conduct trials in some of these cases","claim"
".","other"
"President Obama has no trouble prosecuting ''terrorists'' and ''whistle blowers'' or those deemed","other"
"to have spied on the US","claim"
".","other"
"He could certainly bring the power of the federal government","other"
"to investigate and indict cases of police violence","claim"
".","other"
"President Obama is not all powerful","claim"
",","other"
"but","other"
"he is certainly much more capable","other"
"than","other"
"he has shown thus far in","other"
"acting on the issues","other"
"he feels","other"
"are priorities for the US","claim"
".","other"
"If","other"
"Obama truly wants","other"
"to establish a legacy beyond immigration and Obamacare","claim"
"he needs","claim"
"to make large spectacular displays of","claim"
"investigating and indicting officers","claim"
"who engage in misconduct, especially in cases","claim"
"that result in the death of unarmed African Americans","claim"
".","other"
"If","other"
"he doesn't","claim"
",","other"
"the worst part of his final two years as president won't just come from the Republican House and Senate, but from millions of Americans","other"
",","other"
"most of whom voted for him","other"
",","other"
"marching through","other"
"the streets having lost faith in his ability","other"
"to lead","claim"
".","other"
"Can solar power replace oil in the Middle East?","other"
"The rise of shale has posed a rare challenge to Middle Eastern oil","other"
",","other"
"culminating in a global oil price war and moving OPEC members","other"
"to slash","other"
"profits to retain market share","claim"
".","other"
"But at a time","other"
"when	Modd-NU","other"
"OPEC's hegemony over the oil markets has been challenged","claim"
",","other"
"let","other"
"us not forget","other"
"there is another abundant natural energy resource","other"
"the Middle East possesses - the sun","claim"
".","other"
"The abundance of sunlight (and therefore solar power) offers Middle Eastern energy producers an opportunity","other"
"to achieve first-move advantage in a market","other"
"that appears","other"
"to be the longer-term future of energy","claim"
".","other"
"In light of recent instability in oil markets, the importance of alternative renewable energies, particularly solar, has become","other"
"all the more pronounced","claim"
".","other"
"The drop in oil prices has precipitated an efficiency rush in energy production in all producer nations","claim"
".","other"
"In the US, oil producers are leaving no stone unturned in the hunt","other"
"to become as efficient and sustainable as possible","claim"
".","other"
"In Europe	Modd-NU","other"
",	Modd-NU","other"
"there is a renewed push for renewable energy","claim"
"and","other"
"some countries like the UK are also pursuing nuclear energy as a longer-term solution","premise"
".","other"
"In the Gulf	Modd-NU","other"
",	Modd-NU","other"
"there are similar measures taking place","other"
"to become more efficient in a more competitive energy market","claim"
",","other"
"and","other"
"increasingly, they are turning","other"
"to solar","other"
"to achieve it","claim"
".","other"
"Domestic budgets","other"
".","other"
"The Gulf states remains one of the biggest oil producers in the world, and make up the biggest exporting members of OPEC, especially Saudi Arabia","premise"
".","other"
"While	Modd-NU","other"
"some of these countries can afford","other"
"to swallow current oil prices for now","claim"
",","other"
"they will nonetheless find","other"
"it difficult","other"
"to maintain their domestic budgets","claim"
"- all","claim"
"OPEC countries chose","claim"
"to cut prices","claim"
"in order","claim"
"to hold onto market share","claim"
",","other"
"this means","other"
"slashing profit","claim"
".","other"
"It would not be unprecedented for these countries","other"
"to encounter domestic trouble","claim"
".","other"
"The other, more serious concerns for these major oil producers, is the increasing consumer demand in their own countries","claim"
".","other"
"In past decades, the region has been able","other"
"to sustain luxury alongside completely inefficient energy policies","other"
"through government subsidies","claim"
".","other"
"But the entire energy outlook for the region is changing rapidly","claim"
".","other"
"Rising populations, a growing middle class, industry diversification and increasing consumerism has turned a number of countries in the Gulf region into major energy consumers","claim"
".","other"
"In Saudi Arabia	Modd-NU","other"
",	Modd-NU","other"
"oil accounts for over 65 percent of all electricity production","premise"
",","other"
"in Kuwait it is 71 percent","premise"
",","other"
"in Lebanon it is 94 percent","premise"
"and","other"
"in Yemen it's an astonishing 100 percent","premise"
".","other"
"This represents an energy policy","other"
"that is inefficient and in the long run - unsustainable","claim"
".","other"
"Saudi Arabia is the biggest petroleum consumer in the region","premise"
",","other"
"it is the world's second biggest consumer of total primary energy, 60 percent of","other"
"which is petroleum-based","premise"
".","other"
"But most importantly, it paints a distressing future for the region's oil export industry","claim"
".","other"
"If","other"
"consumer demand continues","other"
"to grow","claim"
",","other"
"it will eventually result in downward pressure on oil exports and could start","other"
"affecting subsidies","claim"
".","other"
"Without a robust and efficient energy balance in the region, it will inevitably lead to these producer nations becoming less profitable with a weaker export outlook","claim"
".","other"
"And with competitors in the oil market like Russia, Iran and the North American shale, this is a long-term dynamic","other"
"that will undermine Middle East's global energy dominance","claim"
".","other"
"However	Modd-NU","other"
",	Modd-NU","other"
"the possibilities associated with","other"
"harnessing Middle Eastern solar energy","other"
"could be a game-changer","claim"
".","other"
"Solar is becoming much cheaper","other"
"to invest in","other"
",","other"
"and","other"
"now has an established and ever improving infrastructure","claim"
".","other"
"Substantial investment in solar will act as a shield for the region's more valued commodity; oil","claim"
".","other"
"Saudi Arabia alone for example, could have made","other"
"$43.8bn in additional oil revenue in 2013 were it not for its spiralling domestic consumption","premise"
".","other"
"It also would have acted as a massive stimulus to the country's finances","claim"
".","other"
"Earlier this year, Saudi Aramco, the state oil company, announced","other"
"it would be making solar energy investments across the country in an attempt","other"
"to diversify the country's energy supplies","premise"
".","other"
"It is also expected","other"
"to conserve the country's oil resources primarily for export","premise"
".","other"
"It has been a slow process but is nonetheless an important one for the future of the solar energy sector","claim"
".","other"
"One of the biggest success variables for any solar energy project is not just investment, but location","claim"
".","other"
"The Middle East's solar industry is one of the most economically sustainable and acts as the best conserver of the region's oil resources","claim"
".","other"
"Investment opportunity","other"
".","other"
"It is also a very strong investment opportunity for those looking","other"
"to invest in a sustainable, long-term energy sector with","other"
"a ready market and significantly lower start-up costs then depleting energy exploration","claim"
".","other"
"But these new developments would also have another important advantage for the Middle East; a cleaner environment","claim"
".","other"
"The use of petroleum for electricity generation has made the Middle East's air quality one of the poorest in the world","claim"
".","other"
"Twenty-nine of the world's most polluted cities are in the MENA region","premise"
".","other"
"Recent energy challenges could have very costly consequences for the region	cond","claim"
"if	cond","other"
"left unaddressed","claim"
",","other"
"but","other"
"they could also reap huge rewards	cond","claim"
"if	cond","other"
"met with robust energy reforms and additional investment in alternative energies","other"
",","other"
"especially solar","claim"
".","other"
"And there are positive signs for the region","claim"
".","other"
"Saudi Arabia alone has announced a $109bn investment plan","other"
"to generate a third of its electricity","premise"
".","other"
"Qatar has also made solar energy agreements with major renewable energy companies as part of its commitments to the Solar GCC alliance","premise"
".","other"
"How","other"
"these measures materialise over the next decade or so","other"
"remains","other"
"to be seen","claim"
",","other"
"but","other"
"there is room for optimism","claim"
".","other"
"What's","other"
"more","other"
",","other"
"the Middle East's unrivalled solar potential means","other"
"that theoretically, it can become more then a just a world leader in fossil fuel production","claim"
",","other"
"it can become a world leader in renewable energy production as well","claim"
".","other"
"Charlie Hebdo: Are we not allowed to laugh any more?","other"
"French magazine Charlie Hebdo was brutally attacked by three self-proclaimed al-Qaeda envoys, all French citizens","premise"
".","other"
"Cabu, one of the cartoonists killed, was the regular host of Recre A2, the French equivalent of Sesame Street, back in the 1980s","premise"
".","other"
"A whole generation of French people","other"
"who grew up","other"
"with","other"
"him will all ask the same question","claim"
":","other"
"Why","other"
"would Cabu, the debonair monument to French popular culture, have","other"
"to die for his irreverence, his caustic humour?","claim"
"Are we not	modd-NU","claim"
"allowed	modd-NU","claim"
"to laugh any more?	m-question","claim"
"Cabu died with several other colleagues, alongside the brave policemen","claim"
"who tried","claim"
"to stop the carnage","premise"
".","other"
"As	Modd-NU","other"
"the attack took place","other"
",","other"
"the assailants allegedly mentioned their connection to Yemen, and","other"
"that the ''Prophet had been avenged.''","premise"
"In 2006, the magazine had been republishing the infamous caricatures of Prophet Muhammad, in solidarity with the Danish cartoonists","premise"
"who has been sent death threats","premise"
".","other"
"As	Modd-NU","other"
"the French political scene gathers","other"
"to condemn the attack","other"
"in what","other"
"journalists call ''unite nationale''","other"
",","other"
"an all-partisan unity against acts of terrorism, scores of French people took to the streets that evening in a show of solidarity","premise"
".","other"
"Their slogan Je Suis Charlie","other"
"(I am Charlie)","other"
",","other"
"is a clear reminder","other"
"that hate","other"
"will not prevail","claim"
",","other"
"and","other"
"that freedom of speech is paramount to French culture","claim"
".","other"
"Incredulity","other"
".","other"
"Since	modd-UN","other"
"it is the case	modd-UN","other"
",	modd-UN","other"
"let","other"
"us change the scenario, and say","other"
"that a Bolivian leftist magazine, notorious for its coverage against wars of any kind, had been targeted by a vicious commando-like attack by al-Qaeda","claim"
".","other"
"Would this scenario not spark incredulity among most people?","claim"
"Would observers not wonder","claim"
"why","claim"
"on earth Bolivia had been attacked in such a brutal manner?","claim"
"Would it be	modd-UN","claim"
"because	modd-UN","claim"
"it is a coveted beacon of freedom	modd-UN","claim"
"that evil terrorists want	modd-UN","claim"
"to harm?	m-question","claim"
"Or","other"
"perhaps","other"
"because	modd-UN","other"
"Bolivia's populist ideals and freedom of expression are a threat to Islam worldwide?	m-question","claim"
"Those narratives just wouldn't add up","claim"
",","other"
"unless","other"
"there was more to the story than","other"
"what","other"
"a convenient ''unite nationale'' would want","other"
"to stir public opinion away from","claim"
".","other"
"Bolivia is not currently involved in Mali and Iraq, nor does","other"
"it harbour a 5 million population of many disenfranchised Muslims","premise"
".","other"
"Bolivia is not the new military BFF of the US","claim"
",","other"
"which has been waging an invisible war using drone strikes in various parts of the world, including Yemen","claim"
",","other"
"where","other"
"two of today's attackers were trained","claim"
".","other"
"That is","other"
"what","other"
"makes the whole difference between France and Bolivia","claim"
".","other"
"AsModd-NU","other"
"the French political scene and its dutiful self-censoring media all cry crocodile tears after the attack","claim"
",","other"
"dots need","other"
"to be connected","claim"
".","other"
"This is","other"
"what","other"
"journalism should be about","claim"
".","other"
"France and the US are at war","claim"
":","other"
"Their main achievement has been","other"
"to obliterate this narrative from their own populations","claim"
",","other"
"which is","other"
"why","other"
"today's attack is met with naive incredulity","claim"
".","other"
"One of the suspects, Cherif Kouachi, had already been sentenced to prison in 2008 for","other"
"helping young recruits travel to Iraq","premise"
".","other"
"He was allegedly motivated","other"
"to do so at the time by the torture pictures coming out of Abu Ghraib prison","claim"
".","other"
"Violence does not occur in a vacuum","claim"
",","other"
"and","other"
"people like Kouachi do connect the dots","claim"
".","other"
"Mali campaign","other"
".","other"
"Since the beginning of its Mali campaign France is now perceived","other"
"to be at war with Islam","claim"
".","other"
"Its alliance with the US against the Islamic State of Iraq and the Levant (ISIL) last September has prompted the group","other"
"to encourage its followers","other"
"to kill","other"
"what","other"
"it referred to as the ''spiteful and filthy French''","claim"
".","other"
"This did not fall on deaf ears","claim"
".","other"
"Today's attack came after many others","other"
"that have been recently averted by French security services","claim"
".","other"
"Young disenfranchised Muslims","other"
"who choose","other"
"to resort to violence, not just today's attackers but also the hundreds of recruits","other"
"who travelled to Syria","other"
"to join the ranks of ISIL","other"
",","other"
"are not born in a vacuum either","claim"
".","other"
"Their perceived sense of structural social humiliation, police profiling, and state harassment, is the fuel to their anger","claim"
".","other"
"Given	COND","other"
"the freedom to access paid employment, enjoy personal fulfilment, and be an equal part of French society","claim"
",","other"
"it is undeniable","other"
"that they would have chosen freedom over violence","claim"
".","other"
"Anyone would","claim"
".","other"
"They just might not think that this a privilege","other"
"that they can afford","claim"
",","other"
"and","other"
"this is the failure of not only the French state, but its increasingly Islamophobic population","other"
"that sees nothing wrong in insulting","other"
"that religion over others","other"
"that are considered","other"
"sacrosanct in French society","claim"
".","other"
"While	Modd-NU","other"
"Charlie Hebdo was certainly targeted because of its past publication of Prophet Muhammad caricatures, more importantly","claim"
",","other"
"it became the lightning rod for France's disastrous foreign policy choices","claim"
".","other"
"Je Suis Charlie","other"
".","other"
"Why Charlie Hebdo attack is not about Islam.","other"
"Twelve people were massacred in Paris on Wednesday merely for","other"
"expressing their opinion through art","claim"
".","other"
"Many might not like the art","other"
"that prompted the carnage","claim"
".","other"
"They may consider","other"
"it obscene and even an attack on their faith","claim"
".","other"
"But in the 21st, 15th or 57th century","other"
"-","other"
"whatever","other"
"your religion, calendar, or country","other"
"- there is no excuse or justification for","other"
"responding to art with murder","claim"
".","other"
"But there is a clear and frightening explanation for this violence, one","other"
"that demands not merely outrage at the act itself, but at the system","other"
"that has made","other"
"it","other"
"both predictable and inevitable","claim"
".","other"
"The problem is","other"
"that this system is hundreds of years old, implicates most everyone, and has only become","other"
"more entrenched in the last several decades","claim"
"as	Modd-NU","claim"
"the world has become","claim"
"ever more globalised","claim"
".","other"
"Where","other"
"does the story begin?","other"
"Quite simply with colonialism","other"
".","other"
"It's no mere coincidence","other"
"that at least two of the Charlie Hebdo attackers are reportedly of Algerian descent and the third from Senegal","claim"
".","other"
"France's 1830 invasion of Algeria began a 130-year odyssey of murder, expropriation, racism, exploitation and misrule","other"
"that only ended after a vicious anti-colonial struggle costing well over one million Algerian lives","claim"
".","other"
"''Colonisation","other"
"brought the genocide of our identity, of our history, of our language, of our traditions''","other"
"is","other"
"how","other"
"President Abdelaziz Bouteflika well described","other"
"it","premise"
".","other"
"French rule in sub-Saharan West Africa was even more costly, particularly in the context of the centuries-long slave trade","claim"
".","other"
"Of course","other"
",","other"
"as in	Modd-NU","other"
"so	Modd-NU","other"
"many newly independent countries, post-independence Algeria and Senegal were ruled by a government","other"
"that was tied umbilically to the former coloniser","claim"
"and","other"
"which","other"
",","other"
"however ''postcolonial'' their official ideology and credentials","other"
",","other"
"became","other"
"increasing authoritarian and corrupt","claim"
".","other"
"In Algeria, the petroleum-rich FLN state - known as ''the pouvoir'' because of its all-pervasive power - went so far as","other"
"to launch a brutal internal war","other"
"that claimed 100,000 lives in the 1990s with the direct support of the West	Modd-NU","other"
",	Modd-NU","other"
"all to preserve its absolute grip on power	Modd-NU","claim"
".","other"
"Nigeria, another major oil producer, received similar support for its even more ruinous war against Biafra in the late 1960s","claim"
".","other"
"The devastation","other"
"it caused","other"
",","other"
"including at least one million dead, is one of the rarely discussed causes of the Boko Haram phenomenon","claim"
".","other"
"The experiences of Algeria and Senegal are in no way unique","claim"
".","other"
"They comprise the story of the modern Muslim world","claim"
",","other"
"where with the exception of Turkey, Iran and part of the Arabian peninsula most","other"
"every society from Morocco to Indonesia fell under generations of European rule in the 19th and 20th centuries","claim"
".","other"
"The collective wound of colonialism, its distortion and often destruction of existing pathways to modernity, is for all practical purposes immeasurable","claim"
".","other"
"As with a body","other"
"that takes only seconds to stab or shoot","other"
",","other"
"the deep wounds of foreign domination and postcolonial dictatorship can take a lifetime","other"
"to heal properly	Modd-NU","other"
",	Modd-NU","other"
"if ever	Modd-NU","claim"
".","other"
"Chances of healing","other"
".","other"
"Indeed","other"
",","other"
"the chances of healing - of some level of local, democratically accountable control of political and economic development - have become even more remote in the era of neoliberal globalisation","claim"
",","other"
"which has been rightly seen by many across the region as essentially colonialism dressed in new clothes","claim"
"(IMF and World Bank policies strongly resemble those of the international banks","claim"
"that brought Tunisia, Egypt and the Ottoman Empire to bankruptcy, and ultimately foreign control, between 1863 and 1875)","claim"
".","other"
"Radical Islam has today charted a path","other"
"that mirrors radical capitalism","claim"
",","other"
"using","other"
"violence only shocks ''us''","claim"
"because	Modd-NU","claim"
"we've managed","claim"
"to make the violence unleashed and supported for so long in our name morally and politically invisible","claim"
".","other"
"The major world powers have long coddled favoured local despots of whatever ideological stripe","claim"
".","other"
"But the strength of the relationships between western governments and the petroleum-rich states of the Arab world, secured by trillions of dollars","other"
